date;LY;REG1_Semaine;REG2_Semaine;REG2_Samedi;REG3_Lundi;REG3_Semaine;REG3_Samedi;REG5_Lundi;REG5_Mardi;REG5_Mercredi;REG5_Jeudi;REG5_Vendredi;REG6_Lundi;REG6_Mardi;REG6_Mercredi;REG6_Jeudi;REG6_Vendredi;REG6_Samedi
2014-04-01;1.77636E-15;1.30580459110366;0.809950727606282;-0.198341545398953;-0.401520689466173;1.21147141707246;-0.198341545398953;-0.302349916766697;0.900829227300523;0.900829227300523;-0.0943331740312097;-0.0991707726994768;-0.401520689466173;0.801658454601047;0.801658454601047;-0.193503946730686;-0.198341545398953;-0.198341545398953
2014-05-01;1.11022E-15;-0.512091360179401;3.4078433825496;1.5679738970916;1.17751132929326;2.23033205325634;1.5679738970916;0.39352438074746;-0.2160130514542;-0.2160130514542;-1.25757658656426;0.7839869485458;1.17751132929326;0.5679738970916;0.5679738970916;-0.473589638018458;1.5679738970916;1.5679738970916
2014-06-01;1.55431E-15;-3.50484023515954;-7.43686897455921;-1.57281149575987;-1.18234892796153;-6.25452004659768;-1.57281149575987;-0.395943180081593;-0.786405747879934;-0.786405747879934;-0.749679811438144;-0.786405747879934;-1.18234892796153;-1.57281149575987;-1.57281149575987;-1.53608555931808;-1.57281149575987;-1.57281149575987
2014-07-01;7.77156E-16;2;2;0;-1;3;0;-1;1;1;1;0;-1;1;1;1;0;0
2014-08-01;7.77156E-16;-5;-5;0;-1;-4;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0
2014-09-01;1.77636E-15;2;2;0;1;1;0;1;1;0;0;0;1;1;0;0;0;0
2014-10-01;8.88178E-16;3;3;0;0;3;0;0;0;1;1;1;0;0;1;1;1;0
2014-11-01;2.10942E-15;-3.5;-6;-1;-1;-5;-1;-0.5;-1.5;-0.5;-0.5;-0.5;-1;-2;-1;-1;-1;-1
2014-12-01;8.88178E-16;2;2;0;1;1;0;1;1;1;-1;0;1;1;1;-1;0;0
2015-01-01;0;-1.5;1;1;0;1;1;-0.5;-0.5;-0.5;-0.500000000000001;0.5;0;0;0;0;1;1
2015-02-01;-0.242142857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015-03-01;8.88178E-16;0.211127004235273;-1.78092513559668;-0.79682085593278;0.40635828813444;-2.18728342373112;-0.79682085593278;0.80476871610083;0.60158957203361;-0.39841042796639;-0.39841042796639;-0.39841042796639;0.40635828813444;0.20317914406722;-0.79682085593278;-0.79682085593278;-0.79682085593278;-0.79682085593278
2015-04-01;1.77636E-15;1.30580459110366;0.809950727606282;-0.198341545398953;-0.401520689466173;1.21147141707246;-0.198341545398953;-0.302349916766697;-0.0991707726994768;0.900829227300523;0.90566682596879;-0.0991707726994768;-0.401520689466173;-0.198341545398953;0.801658454601047;0.806496053269314;-0.198341545398953;-0.198341545398953
2015-05-01;8.88178E-16;-7.5120913601794;-8.5921566174504;-0.4320261029084;-1.82248867070674;-6.76966794674366;-0.4320261029084;-1.60647561925254;-1.2160130514542;-1.2160130514542;-1.25757658656426;-2.2160130514542;-1.82248867070674;-1.4320261029084;-1.4320261029084;-1.47358963801846;-2.4320261029084;-0.4320261029084
2015-06-01;1.9984E-15;3.49515976484046;4.56313102544079;0.427188504240131;1.81765107203847;2.74547995340231;0.427188504240131;1.60405681991841;1.21359425212007;0.213594252120066;0.250320188561856;0.213594252120066;1.81765107203847;1.42718850424013;0.427188504240131;0.463914440681922;0.427188504240131;0.427188504240131
2015-07-01;1.22125E-15;2;2;0;0;2;0;0;-1;1;1;1;0;-1;1;1;1;0
2015-08-01;8.32667E-16;-1.5;-4;-1;0;-4;-1;0.500000000000001;-0.499999999999999;-0.499999999999999;-0.499999999999999;-0.499999999999999;0;-1;-1;-1;-1;-1
2015-09-01;1.77636E-15;2;2;0;0;2;0;0;1;1;0;0;0;1;1;0;0;0
2015-10-01;8.88178E-16;-0.5;2;1;0;2;1;-0.5;-0.5;-0.5;0.5;0.5;0;0;0;1;1;1
2015-11-01;1.88738E-15;0;0;0;1;-1;0;1;0;-1;0;0;1;0;-1;0;0;0
2015-12-01;9.99201E-16;2;2;0;0;2;0;0;1;1;1;-1;0;1;1;1;-1;0
2016-01-01;0;-5;-5;0;-1;-4;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0
2016-02-01;0.757857143;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0
2016-03-01;8.88178E-16;0.211127004235273;-1.78092513559668;-0.79682085593278;-1.59364171186556;-0.18728342373112;-0.79682085593278;-1.19523128389917;0.60158957203361;0.60158957203361;0.60158957203361;-0.39841042796639;-1.59364171186556;0.20317914406722;0.20317914406722;0.20317914406722;-0.79682085593278;-0.79682085593278
